"service_id","date","exception_type"
"GO403_1218","20121127","1"
"GO403_1218","20121128","1"
"GO403_1218","20121129","1"
"GO403_1218","20121130","1"
"GO403_1218","20121203","1"
"GO403_1218","20121204","1"
"GO403_1218","20121205","1"
"GO403_1218","20121206","1"
"GO403_1218","20121207","1"
"GO403_1218","20121210","1"
"GO403_1218","20121211","1"
"GO403_1218","20121212","1"
"GO403_1218","20121213","1"
"GO403_1218","20121214","1"
"GO403_1218","20121217","1"
"GO403_1218","20121218","1"
"GO403_1218","20121219","1"
"GO403_1218","20121220","1"
"GO403_1218","20121221","1"
"GO403_1218","20121224","1"
"GO403_1218","20121225","1"
"GO403_1218","20121226","1"
"GO403_1218","20121227","1"
"GO403_1218","20121228","1"
"GO403_1218","20121231","1"
"GO403_1218","20130101","1"
"GO403_1218","20130102","1"
"GO403_1218","20130103","1"
"GO403_1218","20130104","1"
"GO403_1218","20130107","1"
"GO403_1218","20130108","1"
"GO403_1218","20130109","1"
"GO403_1218","20130110","1"
"GO403_1218","20130111","1"
"GO403_1218","20130114","1"
"GO403_1218","20130115","1"
"GO403_1218","20130116","1"
"GO403_1218","20130117","1"
"GO403_1218","20130118","1"
"GO403_1218","20130121","1"
"GO403_1218","20130122","1"
"GO403_1218","20130123","1"
"GO403_1218","20130124","1"
"GO403_1218","20130125","1"
"GO403_1218","20130128","1"
"GO403_1218","20130129","1"
"GO403_1218","20130130","1"
"GO403_1218","20130131","1"
"GO403_1218","20130201","1"
"GO403_1218","20130204","1"
"GO403_1218","20130205","1"
"GO403_1218","20130206","1"
"GO403_1218","20130207","1"
"GO403_1218","20130208","1"
"GO403_1218","20130211","1"
"GO403_1218","20130212","1"
"GO403_1218","20130213","1"
"GO403_1218","20130214","1"
"GO403_1218","20130215","1"
"GO403_1218","20130218","1"
"GO403_1218","20130219","1"
"GO403_1218","20130220","1"
"GO403_1218","20130221","1"
"GO403_1218","20130222","1"
"GO403_1218","20130225","1"
"GO403_1218","20130226","1"
"GO403_1218","20130227","1"
"GO403_1218","20130228","1"
"GO403_1218","20130301","1"
"GO403_1219","20121117","1"
"GO403_1219","20121118","1"
"GO403_1219","20121124","1"
"GO403_1219","20121125","1"
"GO403_1219","20121201","1"
"GO403_1219","20121202","1"
"GO403_1219","20121208","1"
"GO403_1219","20121209","1"
"GO403_1219","20121215","1"
"GO403_1219","20121216","1"
"GO403_1219","20121222","1"
"GO403_1219","20121223","1"
"GO403_1219","20121229","1"
"GO403_1219","20121230","1"
"GO403_1219","20130105","1"
"GO403_1219","20130106","1"
"GO403_1219","20130112","1"
"GO403_1219","20130113","1"
"GO403_1219","20130119","1"
"GO403_1219","20130120","1"
"GO403_1219","20130126","1"
"GO403_1219","20130127","1"
"GO403_1219","20130202","1"
"GO403_1219","20130203","1"
"GO403_1219","20130209","1"
"GO403_1219","20130210","1"
"GO403_1219","20130216","1"
"GO403_1219","20130217","1"
"GO403_1219","20130223","1"
"GO403_1219","20130224","1"
"GO403_1219","20130302","1"
"GO403_1219","20130303","1"
"GO403_1220","20121112","1"
"GO403_1220","20121119","1"
"GO403_1220","20121126","1"
"GO403_1220","20121203","1"
"GO403_1220","20121210","1"
"GO403_1220","20121217","1"
"GO403_1220","20121224","1"
"GO403_1220","20121231","1"
"GO403_1220","20130107","1"
"GO403_1220","20130114","1"
"GO403_1220","20130121","1"
"GO403_1220","20130128","1"
"GO403_1220","20130204","1"
"GO403_1220","20130211","1"
"GO403_1220","20130218","1"
"GO403_1220","20130225","1"
"GO403_1221","20121117","1"
"GO403_1221","20121124","1"
"GO403_1221","20121201","1"
"GO403_1221","20121208","1"
"GO403_1221","20121215","1"
"GO403_1221","20121222","1"
"GO403_1221","20121229","1"
"GO403_1221","20130105","1"
"GO403_1221","20130112","1"
"GO403_1221","20130119","1"
"GO403_1221","20130126","1"
"GO403_1221","20130202","1"
"GO403_1221","20130209","1"
"GO403_1221","20130216","1"
"GO403_1221","20130223","1"
"GO403_1221","20130302","1"
"GO403_1222","20121117","1"
"GO403_1222","20121118","1"
"GO403_1222","20121124","1"
"GO403_1222","20121125","1"
"GO403_1222","20121201","1"
"GO403_1222","20121202","1"
"GO403_1222","20121208","1"
"GO403_1222","20121209","1"
"GO403_1222","20121215","1"
"GO403_1222","20121216","1"
"GO403_1222","20121222","1"
"GO403_1222","20121223","1"
"GO403_1222","20121229","1"
"GO403_1222","20121230","1"
"GO403_1222","20130105","1"
"GO403_1222","20130106","1"
"GO403_1222","20130112","1"
"GO403_1222","20130113","1"
"GO403_1222","20130119","1"
"GO403_1222","20130120","1"
"GO403_1222","20130126","1"
"GO403_1222","20130127","1"
"GO403_1222","20130202","1"
"GO403_1222","20130203","1"
"GO403_1222","20130209","1"
"GO403_1222","20130210","1"
"GO403_1222","20130216","1"
"GO403_1222","20130217","1"
"GO403_1222","20130223","1"
"GO403_1222","20130224","1"
"GO403_1222","20130302","1"
"GO403_1222","20130303","1"
"GO403_1223","20121112","1"
"GO403_1223","20121113","1"
"GO403_1223","20121114","1"
"GO403_1223","20121115","1"
"GO403_1223","20121116","1"
"GO403_1223","20121119","1"
"GO403_1223","20121120","1"
"GO403_1223","20121121","1"
"GO403_1223","20121122","1"
"GO403_1223","20121123","1"
"GO403_1223","20121126","1"
"GO403_1223","20121127","1"
"GO403_1223","20121128","1"
"GO403_1223","20121129","1"
"GO403_1223","20121130","1"
"GO403_1223","20121203","1"
"GO403_1223","20121204","1"
"GO403_1223","20121205","1"
"GO403_1223","20121206","1"
"GO403_1223","20121207","1"
"GO403_1223","20121210","1"
"GO403_1223","20121211","1"
"GO403_1223","20121212","1"
"GO403_1223","20121213","1"
"GO403_1223","20121214","1"
"GO403_1223","20121217","1"
"GO403_1223","20121218","1"
"GO403_1223","20121219","1"
"GO403_1223","20121220","1"
"GO403_1223","20121221","1"
"GO403_1223","20121224","1"
"GO403_1223","20121225","1"
"GO403_1223","20121226","1"
"GO403_1223","20121227","1"
"GO403_1223","20121228","1"
"GO403_1223","20121231","1"
"GO403_1223","20130101","1"
"GO403_1223","20130102","1"
"GO403_1223","20130103","1"
"GO403_1223","20130104","1"
"GO403_1223","20130107","1"
"GO403_1223","20130108","1"
"GO403_1223","20130109","1"
"GO403_1223","20130110","1"
"GO403_1223","20130111","1"
"GO403_1223","20130114","1"
"GO403_1223","20130115","1"
"GO403_1223","20130116","1"
"GO403_1223","20130117","1"
"GO403_1223","20130118","1"
"GO403_1223","20130121","1"
"GO403_1223","20130122","1"
"GO403_1223","20130123","1"
"GO403_1223","20130124","1"
"GO403_1223","20130125","1"
"GO403_1223","20130128","1"
"GO403_1223","20130129","1"
"GO403_1223","20130130","1"
"GO403_1223","20130131","1"
"GO403_1223","20130201","1"
"GO403_1223","20130204","1"
"GO403_1223","20130205","1"
"GO403_1223","20130206","1"
"GO403_1223","20130207","1"
"GO403_1223","20130208","1"
"GO403_1223","20130211","1"
"GO403_1223","20130212","1"
"GO403_1223","20130213","1"
"GO403_1223","20130214","1"
"GO403_1223","20130215","1"
"GO403_1223","20130218","1"
"GO403_1223","20130219","1"
"GO403_1223","20130220","1"
"GO403_1223","20130221","1"
"GO403_1223","20130222","1"
"GO403_1223","20130225","1"
"GO403_1223","20130226","1"
"GO403_1223","20130227","1"
"GO403_1223","20130228","1"
"GO403_1223","20130301","1"
"GO403_1224","20121113","1"
"GO403_1224","20121114","1"
"GO403_1224","20121115","1"
"GO403_1224","20121116","1"
"GO403_1224","20121120","1"
"GO403_1224","20121121","1"
"GO403_1224","20121122","1"
"GO403_1224","20121123","1"
"GO403_1224","20121127","1"
"GO403_1224","20121128","1"
"GO403_1224","20121129","1"
"GO403_1224","20121130","1"
"GO403_1224","20121204","1"
"GO403_1224","20121205","1"
"GO403_1224","20121206","1"
"GO403_1224","20121207","1"
